id;created_at;Proteina;TipoCocionProteina;Complemento;Descripcion
77;2025-08-24;Pollo;a la Naranja; con Arroz con maíz y Tajadas;Pollo a la Naranja  con Arroz con maíz y Tajadas
78;2025-08-24;Pollo;a la Naranja; con Arroz con maíz;Pollo a la Naranja  con Arroz con maíz
79;2025-08-24;Pollo;a la Naranja; con Arroz con guandú y Ensalada de papa;Pollo a la Naranja  con Arroz con guandú y Ensalada de papa
80;2025-08-24;Pollo;a la Naranja; con Arroz con guandú y Ensalada de repollo con zanahoria;Pollo a la Naranja  con Arroz con guandú y Ensalada de repollo con zanahoria
81;2025-08-24;Pollo;a la Naranja; con Arroz con guandú y Tajadas;Pollo a la Naranja  con Arroz con guandú y Tajadas
82;2025-08-24;Pollo;a la Naranja; con Arroz con guandú;Pollo a la Naranja  con Arroz con guandú
83;2025-08-24;Pollo;a la Naranja; con Arroz con lentejas y Ensalada de papa;Pollo a la Naranja  con Arroz con lentejas y Ensalada de papa
84;2025-08-24;Pollo;a la Naranja; con Arroz con lentejas y Ensalada de repollo con zanahoria;Pollo a la Naranja  con Arroz con lentejas y Ensalada de repollo con zanahoria
85;2025-08-24;Pollo;a la Naranja; con Arroz con lentejas y Tajadas;Pollo a la Naranja  con Arroz con lentejas y Tajadas
86;2025-08-24;Pollo;a la Naranja; con Arroz con lentejas;Pollo a la Naranja  con Arroz con lentejas
87;2025-08-24;Pollo;a la Naranja; con Arroz verde y Ensalada de papa;Pollo a la Naranja  con Arroz verde y Ensalada de papa
88;2025-08-24;Pollo;a la Naranja; con Arroz verde y Ensalada de repollo con zanahoria;Pollo a la Naranja  con Arroz verde y Ensalada de repollo con zanahoria
89;2025-08-24;Pollo;a la Naranja; con Arroz verde y Tajadas;Pollo a la Naranja  con Arroz verde y Tajadas
90;2025-08-24;Pollo;a la Naranja; con Arroz verde;Pollo a la Naranja  con Arroz verde
91;2025-08-24;Pollo;a la Naranja; con Puré de papas y Ensalada de papa;Pollo a la Naranja  con Puré de papas y Ensalada de papa
92;2025-08-24;Pollo;a la Naranja; con Puré de papas y Tajadas;Pollo a la Naranja  con Puré de papas y Tajadas
93;2025-08-24;Pollo;a la Naranja; con Puré de papas;Pollo a la Naranja  con Puré de papas
94;2025-08-24;Pollo;a la Naranja; con Papas fritas y Ensalada de papa;Pollo a la Naranja  con Papas fritas y Ensalada de papa
95;2025-08-24;Pollo;a la Naranja; con Papas fritas y Ensalada de repollo con zanahoria;Pollo a la Naranja  con Papas fritas y Ensalada de repollo con zanahoria
96;2025-08-24;Pollo;a la Naranja; con Papas fritas y Tajadas;Pollo a la Naranja  con Papas fritas y Tajadas
97;2025-08-24;Pollo;a la Naranja; con Papas fritas;Pollo a la Naranja  con Papas fritas
98;2025-08-24;Pollo;a la Naranja; con Papas asadas y Ensalada de papa;Pollo a la Naranja  con Papas asadas y Ensalada de papa
99;2025-08-24;Pollo;a la Naranja; con Papas asadas y Ensalada de repollo con zanahoria;Pollo a la Naranja  con Papas asadas y Ensalada de repollo con zanahoria
100;2025-08-24;Pollo;a la Naranja; con Papas asadas y Tajadas;Pollo a la Naranja  con Papas asadas y Tajadas
101;2025-08-24;Pollo;a la Naranja; con Papas asadas;Pollo a la Naranja  con Papas asadas
102;2025-08-24;Pollo;a la Naranja; con Patacones y Ensalada de papa;Pollo a la Naranja  con Patacones y Ensalada de papa
103;2025-08-24;Pollo;a la Naranja; con Patacones y Ensalada de repollo con zanahoria;Pollo a la Naranja  con Patacones y Ensalada de repollo con zanahoria
104;2025-08-24;Pollo;a la Naranja; con Patacones y Tajadas;Pollo a la Naranja  con Patacones y Tajadas
105;2025-08-24;Pollo;a la Naranja; con Patacones;Pollo a la Naranja  con Patacones
106;2025-08-24;Pollo;al Horno; con Arroz blanco y Ensalada de papa;Pollo al Horno  con Arroz blanco y Ensalada de papa
107;2025-08-24;Pollo;al Horno; con Arroz blanco y Ensalada de repollo con zanahoria;Pollo al Horno  con Arroz blanco y Ensalada de repollo con zanahoria
108;2025-08-24;Pollo;al Horno; con Arroz blanco y Tajadas;Pollo al Horno  con Arroz blanco y Tajadas
109;2025-08-24;Pollo;al Horno; con Arroz blanco;Pollo al Horno  con Arroz blanco
110;2025-08-24;Pollo;al Horno; con Arroz con maíz y Ensalada de papa;Pollo al Horno  con Arroz con maíz y Ensalada de papa
111;2025-08-24;Pollo;al Horno; con Arroz con maíz y Ensalada de repollo con zanahoria;Pollo al Horno  con Arroz con maíz y Ensalada de repollo con zanahoria
112;2025-08-24;Pollo;al Horno; con Arroz con maíz y Tajadas;Pollo al Horno  con Arroz con maíz y Tajadas
113;2025-08-24;Pollo;al Horno; con Arroz con maíz;Pollo al Horno  con Arroz con maíz
114;2025-08-24;Pollo;al Horno; con Arroz con guandú y Ensalada de papa;Pollo al Horno  con Arroz con guandú y Ensalada de papa
115;2025-08-24;Pollo;al Horno; con Arroz con guandú y Ensalada de repollo con zanahoria;Pollo al Horno  con Arroz con guandú y Ensalada de repollo con zanahoria
116;2025-08-24;Pollo;al Horno; con Arroz con guandú y Tajadas;Pollo al Horno  con Arroz con guandú y Tajadas
117;2025-08-24;Pollo;al Horno; con Arroz con guandú;Pollo al Horno  con Arroz con guandú
118;2025-08-24;Pollo;al Horno; con Arroz con lentejas y Ensalada de papa;Pollo al Horno  con Arroz con lentejas y Ensalada de papa
119;2025-08-24;Pollo;al Horno; con Arroz con lentejas y Ensalada de repollo con zanahoria;Pollo al Horno  con Arroz con lentejas y Ensalada de repollo con zanahoria
120;2025-08-24;Pollo;al Horno; con Arroz con lentejas y Tajadas;Pollo al Horno  con Arroz con lentejas y Tajadas
121;2025-08-24;Pollo;al Horno; con Arroz con lentejas;Pollo al Horno  con Arroz con lentejas
122;2025-08-24;Pollo;al Horno; con Arroz verde y Ensalada de papa;Pollo al Horno  con Arroz verde y Ensalada de papa
123;2025-08-24;Pollo;al Horno; con Arroz verde y Ensalada de repollo con zanahoria;Pollo al Horno  con Arroz verde y Ensalada de repollo con zanahoria
124;2025-08-24;Pollo;al Horno; con Arroz verde y Tajadas;Pollo al Horno  con Arroz verde y Tajadas
125;2025-08-24;Pollo;al Horno; con Arroz verde;Pollo al Horno  con Arroz verde
126;2025-08-24;Pollo;al Horno; con Puré de papas y Ensalada de papa;Pollo al Horno  con Puré de papas y Ensalada de papa
127;2025-08-24;Pollo;al Horno; con Puré de papas y Tajadas;Pollo al Horno  con Puré de papas y Tajadas
128;2025-08-24;Pollo;al Horno; con Puré de papas;Pollo al Horno  con Puré de papas
129;2025-08-24;Pollo;al Horno; con Papas fritas y Ensalada de papa;Pollo al Horno  con Papas fritas y Ensalada de papa
130;2025-08-24;Pollo;al Horno; con Papas fritas y Ensalada de repollo con zanahoria;Pollo al Horno  con Papas fritas y Ensalada de repollo con zanahoria
131;2025-08-24;Pollo;al Horno; con Papas fritas y Tajadas;Pollo al Horno  con Papas fritas y Tajadas
132;2025-08-24;Pollo;al Horno; con Papas fritas;Pollo al Horno  con Papas fritas
133;2025-08-24;Pollo;al Horno; con Papas asadas y Ensalada de papa;Pollo al Horno  con Papas asadas y Ensalada de papa
134;2025-08-24;Pollo;al Horno; con Papas asadas y Ensalada de repollo con zanahoria;Pollo al Horno  con Papas asadas y Ensalada de repollo con zanahoria
135;2025-08-24;Pollo;al Horno; con Papas asadas y Tajadas;Pollo al Horno  con Papas asadas y Tajadas
136;2025-08-24;Pollo;al Horno; con Papas asadas;Pollo al Horno  con Papas asadas
137;2025-08-24;Pollo;al Horno; con Patacones y Ensalada de papa;Pollo al Horno  con Patacones y Ensalada de papa
138;2025-08-24;Pollo;al Horno; con Patacones y Ensalada de repollo con zanahoria;Pollo al Horno  con Patacones y Ensalada de repollo con zanahoria
139;2025-08-24;Pollo;al Horno; con Patacones y Tajadas;Pollo al Horno  con Patacones y Tajadas
140;2025-08-24;Pollo;al Horno; con Patacones;Pollo al Horno  con Patacones
141;2025-08-24;Pollo;Guisado; con Arroz blanco y Ensalada de papa;Pollo Guisado  con Arroz blanco y Ensalada de papa
142;2025-08-24;Pollo;Guisado; con Arroz blanco y Ensalada de repollo con zanahoria;Pollo Guisado  con Arroz blanco y Ensalada de repollo con zanahoria
143;2025-08-24;Pollo;Guisado; con Arroz blanco y Tajadas;Pollo Guisado  con Arroz blanco y Tajadas
144;2025-08-24;Pollo;Guisado; con Arroz blanco y Pico de gallo;Pollo Guisado  con Arroz blanco y Pico de gallo
145;2025-08-24;Pollo;Guisado; con Arroz blanco;Pollo Guisado  con Arroz blanco
146;2025-08-24;Pollo;Guisado; con Arroz con maíz y Ensalada de papa;Pollo Guisado  con Arroz con maíz y Ensalada de papa
147;2025-08-24;Pollo;Guisado; con Arroz con maíz y Ensalada de repollo con zanahoria;Pollo Guisado  con Arroz con maíz y Ensalada de repollo con zanahoria
148;2025-08-24;Pollo;Guisado; con Arroz con maíz y Tajadas;Pollo Guisado  con Arroz con maíz y Tajadas
149;2025-08-24;Pollo;Guisado; con Arroz con maíz y Pico de gallo;Pollo Guisado  con Arroz con maíz y Pico de gallo
150;2025-08-24;Pollo;Guisado; con Arroz con maíz;Pollo Guisado  con Arroz con maíz
151;2025-08-24;Pollo;Guisado; con Arroz con guandú y Ensalada de papa;Pollo Guisado  con Arroz con guandú y Ensalada de papa
152;2025-08-24;Pollo;Guisado; con Arroz con guandú y Ensalada de repollo con zanahoria;Pollo Guisado  con Arroz con guandú y Ensalada de repollo con zanahoria
153;2025-08-24;Pollo;Guisado; con Arroz con guandú y Tajadas;Pollo Guisado  con Arroz con guandú y Tajadas
154;2025-08-24;Pollo;Guisado; con Arroz con guandú y Pico de gallo;Pollo Guisado  con Arroz con guandú y Pico de gallo
155;2025-08-24;Pollo;Guisado; con Arroz con guandú;Pollo Guisado  con Arroz con guandú
156;2025-08-24;Pollo;Guisado; con Arroz con lentejas y Ensalada de papa;Pollo Guisado  con Arroz con lentejas y Ensalada de papa
157;2025-08-24;Pollo;Guisado; con Arroz con lentejas y Ensalada de repollo con zanahoria;Pollo Guisado  con Arroz con lentejas y Ensalada de repollo con zanahoria
158;2025-08-24;Pollo;Guisado; con Arroz con lentejas y Tajadas;Pollo Guisado  con Arroz con lentejas y Tajadas
159;2025-08-24;Pollo;Guisado; con Arroz con lentejas y Pico de gallo;Pollo Guisado  con Arroz con lentejas y Pico de gallo
160;2025-08-24;Pollo;Guisado; con Arroz con lentejas;Pollo Guisado  con Arroz con lentejas
161;2025-08-24;Pollo;Guisado; con Arroz verde y Ensalada de papa;Pollo Guisado  con Arroz verde y Ensalada de papa
162;2025-08-24;Pollo;Guisado; con Arroz verde y Ensalada de repollo con zanahoria;Pollo Guisado  con Arroz verde y Ensalada de repollo con zanahoria
163;2025-08-24;Pollo;Guisado; con Arroz verde y Tajadas;Pollo Guisado  con Arroz verde y Tajadas
164;2025-08-24;Pollo;Guisado; con Arroz verde y Pico de gallo;Pollo Guisado  con Arroz verde y Pico de gallo
165;2025-08-24;Pollo;Guisado; con Arroz verde;Pollo Guisado  con Arroz verde
166;2025-08-24;Pollo;Guisado; con Puré de papas y Ensalada de papa;Pollo Guisado  con Puré de papas y Ensalada de papa
167;2025-08-24;Pollo;Guisado; con Puré de papas y Tajadas;Pollo Guisado  con Puré de papas y Tajadas
168;2025-08-24;Pollo;Guisado; con Puré de papas y Pico de gallo;Pollo Guisado  con Puré de papas y Pico de gallo
169;2025-08-24;Pollo;Guisado; con Puré de papas;Pollo Guisado  con Puré de papas
170;2025-08-24;Pollo;Guisado; con Papas fritas y Ensalada de papa;Pollo Guisado  con Papas fritas y Ensalada de papa
171;2025-08-24;Pollo;Guisado; con Papas fritas y Ensalada de repollo con zanahoria;Pollo Guisado  con Papas fritas y Ensalada de repollo con zanahoria
172;2025-08-24;Pollo;Guisado; con Papas fritas y Tajadas;Pollo Guisado  con Papas fritas y Tajadas
173;2025-08-24;Pollo;Guisado; con Papas fritas y Pico de gallo;Pollo Guisado  con Papas fritas y Pico de gallo
174;2025-08-24;Pollo;Guisado; con Papas fritas;Pollo Guisado  con Papas fritas
175;2025-08-24;Pollo;Guisado; con Papas asadas y Ensalada de papa;Pollo Guisado  con Papas asadas y Ensalada de papa
176;2025-08-24;Pollo;Guisado; con Papas asadas y Ensalada de repollo con zanahoria;Pollo Guisado  con Papas asadas y Ensalada de repollo con zanahoria
177;2025-08-24;Pollo;Guisado; con Papas asadas y Tajadas;Pollo Guisado  con Papas asadas y Tajadas
178;2025-08-24;Pollo;Guisado; con Papas asadas y Pico de gallo;Pollo Guisado  con Papas asadas y Pico de gallo
179;2025-08-24;Pollo;Guisado; con Papas asadas;Pollo Guisado  con Papas asadas
180;2025-08-24;Pollo;Guisado; con Patacones y Ensalada de papa;Pollo Guisado  con Patacones y Ensalada de papa
181;2025-08-24;Pollo;Guisado; con Patacones y Ensalada de repollo con zanahoria;Pollo Guisado  con Patacones y Ensalada de repollo con zanahoria
182;2025-08-24;Pollo;Guisado; con Patacones y Tajadas;Pollo Guisado  con Patacones y Tajadas
183;2025-08-24;Pollo;Guisado; con Patacones y Pico de gallo;Pollo Guisado  con Patacones y Pico de gallo
184;2025-08-24;Pollo;Guisado; con Patacones;Pollo Guisado  con Patacones
185;2025-08-24;Pollo;A la Parmesana; con Arroz blanco y Ensalada de papa;Pollo A la Parmesana  con Arroz blanco y Ensalada de papa
186;2025-08-24;Pollo;A la Parmesana; con Arroz blanco y Ensalada de repollo con zanahoria;Pollo A la Parmesana  con Arroz blanco y Ensalada de repollo con zanahoria
187;2025-08-24;Pollo;A la Parmesana; con Arroz blanco y Tajadas;Pollo A la Parmesana  con Arroz blanco y Tajadas
188;2025-08-24;Pollo;A la Parmesana; con Arroz blanco;Pollo A la Parmesana  con Arroz blanco
189;2025-08-24;Pollo;A la Parmesana; con Arroz con maíz y Ensalada de papa;Pollo A la Parmesana  con Arroz con maíz y Ensalada de papa
190;2025-08-24;Pollo;A la Parmesana; con Arroz con maíz y Ensalada de repollo con zanahoria;Pollo A la Parmesana  con Arroz con maíz y Ensalada de repollo con zanahoria
191;2025-08-24;Pollo;A la Parmesana; con Arroz con maíz y Tajadas;Pollo A la Parmesana  con Arroz con maíz y Tajadas
192;2025-08-24;Pollo;A la Parmesana; con Arroz con maíz;Pollo A la Parmesana  con Arroz con maíz
193;2025-08-24;Pollo;A la Parmesana; con Arroz con guandú y Ensalada de papa;Pollo A la Parmesana  con Arroz con guandú y Ensalada de papa
194;2025-08-24;Pollo;A la Parmesana; con Arroz con guandú y Ensalada de repollo con zanahoria;Pollo A la Parmesana  con Arroz con guandú y Ensalada de repollo con zanahoria
195;2025-08-24;Pollo;A la Parmesana; con Arroz con guandú y Tajadas;Pollo A la Parmesana  con Arroz con guandú y Tajadas
196;2025-08-24;Pollo;A la Parmesana; con Arroz con guandú;Pollo A la Parmesana  con Arroz con guandú
197;2025-08-24;Pollo;A la Parmesana; con Arroz con lentejas y Ensalada de papa;Pollo A la Parmesana  con Arroz con lentejas y Ensalada de papa
198;2025-08-24;Pollo;A la Parmesana; con Arroz con lentejas y Ensalada de repollo con zanahoria;Pollo A la Parmesana  con Arroz con lentejas y Ensalada de repollo con zanahoria
199;2025-08-24;Pollo;A la Parmesana; con Arroz con lentejas y Tajadas;Pollo A la Parmesana  con Arroz con lentejas y Tajadas
200;2025-08-24;Pollo;A la Parmesana; con Arroz con lentejas;Pollo A la Parmesana  con Arroz con lentejas
201;2025-08-24;Pollo;A la Parmesana; con Arroz verde y Ensalada de papa;Pollo A la Parmesana  con Arroz verde y Ensalada de papa
202;2025-08-24;Pollo;A la Parmesana; con Arroz verde y Ensalada de repollo con zanahoria;Pollo A la Parmesana  con Arroz verde y Ensalada de repollo con zanahoria
203;2025-08-24;Pollo;A la Parmesana; con Arroz verde y Tajadas;Pollo A la Parmesana  con Arroz verde y Tajadas
204;2025-08-24;Pollo;A la Parmesana; con Arroz verde;Pollo A la Parmesana  con Arroz verde
205;2025-08-24;Pollo;A la Parmesana; con Puré de papas y Ensalada de papa;Pollo A la Parmesana  con Puré de papas y Ensalada de papa
206;2025-08-24;Pollo;A la Parmesana; con Puré de papas y Tajadas;Pollo A la Parmesana  con Puré de papas y Tajadas
207;2025-08-24;Pollo;A la Parmesana; con Puré de papas;Pollo A la Parmesana  con Puré de papas
208;2025-08-24;Pollo;A la Parmesana; con Papas fritas y Ensalada de papa;Pollo A la Parmesana  con Papas fritas y Ensalada de papa
209;2025-08-24;Pollo;A la Parmesana; con Papas fritas y Ensalada de repollo con zanahoria;Pollo A la Parmesana  con Papas fritas y Ensalada de repollo con zanahoria
210;2025-08-24;Pollo;A la Parmesana; con Papas fritas y Tajadas;Pollo A la Parmesana  con Papas fritas y Tajadas
211;2025-08-24;Pollo;A la Parmesana; con Papas fritas;Pollo A la Parmesana  con Papas fritas
212;2025-08-24;Pollo;A la Parmesana; con Papas asadas y Ensalada de papa;Pollo A la Parmesana  con Papas asadas y Ensalada de papa
213;2025-08-24;Pollo;A la Parmesana; con Papas asadas y Ensalada de repollo con zanahoria;Pollo A la Parmesana  con Papas asadas y Ensalada de repollo con zanahoria
214;2025-08-24;Pollo;A la Parmesana; con Papas asadas y Tajadas;Pollo A la Parmesana  con Papas asadas y Tajadas
215;2025-08-24;Pollo;A la Parmesana; con Papas asadas;Pollo A la Parmesana  con Papas asadas
216;2025-08-24;Pollo;A la Parmesana; con Patacones y Ensalada de papa;Pollo A la Parmesana  con Patacones y Ensalada de papa
217;2025-08-24;Pollo;A la Parmesana; con Patacones y Ensalada de repollo con zanahoria;Pollo A la Parmesana  con Patacones y Ensalada de repollo con zanahoria
218;2025-08-24;Pollo;A la Parmesana; con Patacones y Tajadas;Pollo A la Parmesana  con Patacones y Tajadas
219;2025-08-24;Pollo;A la Parmesana; con Patacones;Pollo A la Parmesana  con Patacones
220;2025-08-24;Pollo;A la Parmesana; con Macarrones salsa roja y Ensalada de papa;Pollo A la Parmesana  con Macarrones salsa roja y Ensalada de papa
